,Loan.ID,Loan.Status
0,2,1
1,6,1
2,9,1
3,12,1
4,14,1
5,20,1
6,24,1
7,27,1
8,30,1
9,32,1
10,38,1
11,42,1
12,45,1
13,48,1
14,50,1
15,56,1
16,60,1
17,63,1
18,66,1
19,68,1
20,74,1
21,78,1
22,81,1
23,84,1
24,86,1
25,92,1
26,96,1
27,99,1
28,102,1
29,104,1
30,110,1
31,114,1
32,117,1
33,120,1
34,122,1
35,128,1
36,132,1
37,135,1
38,138,1
39,140,1
40,146,1
41,150,1
42,153,1
43,156,1
44,158,1
45,164,1
46,168,1
47,171,1
48,174,1
49,176,1
50,182,1
51,186,1
52,189,1
53,192,1
54,194,1
55,200,1
56,204,1
57,207,1
58,210,1
59,212,1
60,218,1
61,222,1
62,225,1
63,228,1
64,230,1
65,236,1
66,240,1
67,243,1
68,246,1
69,248,1
70,254,1
71,258,1
72,261,1
73,264,1
74,266,1
75,272,1
76,276,1
77,279,1
78,282,1
79,284,1
80,290,1
81,294,1
82,297,1
83,300,1
84,302,1
85,308,1
86,312,1
87,315,1
88,318,1
89,320,1
90,326,1
91,330,1
92,333,1
93,336,1
94,338,1
95,344,1
96,348,1
97,351,1
98,354,1
99,356,1
100,362,1
101,366,1
102,369,1
103,372,1
104,374,1
105,380,1
106,384,1
107,387,1
108,390,1
109,392,1
110,398,1
111,402,1
112,405,1
113,408,1
114,410,1
115,416,1
116,420,1
117,423,1
118,426,1
119,428,1
120,434,1
121,438,1
122,441,1
123,444,1
124,446,1
125,452,1
126,456,1
127,459,1
128,462,1
129,464,1
130,470,1
131,474,1
132,477,1
133,480,1
134,482,1
135,488,1
136,492,1
137,495,1
138,498,1
139,500,1
140,506,1
141,510,1
142,513,1
143,516,1
144,518,1
145,524,1
146,528,1
147,531,1
148,534,1
149,536,1
150,542,1
151,546,1
152,549,1
153,552,1
154,554,1
155,560,1
156,564,1
157,567,1
158,570,1
159,572,1
160,578,1
161,582,1
162,585,1
163,588,1
164,590,1
165,596,1
166,600,1
167,603,1
168,606,1
169,608,1
170,614,1
171,618,1
172,621,1
173,624,1
174,626,1
175,632,1
176,636,1
177,639,1
178,642,1
179,644,1
180,650,1
181,654,1
182,657,1
183,660,1
184,662,1
185,668,1
186,672,1
187,675,1
188,678,1
189,680,1
190,686,1
191,690,1
192,693,1
193,696,1
194,698,1
195,704,1
196,708,1
197,711,1
198,714,1
199,716,1
200,722,1
201,726,1
202,729,1
203,732,1
204,734,1
205,740,1
206,744,1
207,747,1
208,750,1
209,752,1
210,758,1
211,762,1
212,765,1
213,768,1
214,770,1
215,776,1
216,780,1
217,783,1
218,786,1
219,788,1
220,794,1
221,798,1
222,801,1
223,804,1
224,806,1
225,812,1
226,816,1
227,819,1
228,822,1
229,824,1
230,830,1
231,834,1
232,837,1
233,840,1
234,842,1
235,848,1
236,852,1
237,855,1
238,858,1
239,860,1
240,866,1
241,870,1
242,873,1
243,876,1
244,878,1
245,884,1
246,888,1
247,891,1
248,894,1
249,896,1
250,902,1
251,906,1
252,909,1
253,912,1
254,914,1
255,920,1
256,924,1
257,927,1
258,930,1
259,932,1
260,938,1
261,942,1
262,945,1
263,948,1
264,950,1
265,956,1
266,960,1
267,963,1
268,966,1
269,968,1
270,974,1
271,978,1
272,981,1
273,984,1
274,986,1
275,992,1
276,996,1
277,999,1
278,1002,1
279,1004,1
280,1010,1
281,1014,1
282,1017,1
283,1020,1
284,1022,1
285,1028,1
286,1032,1
287,1035,1
288,1038,1
289,1040,1
290,1046,1
291,1050,1
292,1053,1
293,1056,1
294,1058,1
295,1064,1
296,1068,1
297,1071,1
298,1074,1
299,1076,1
300,1082,1
301,1086,1
302,1089,1
303,1092,1
304,1094,1
305,1100,1
306,1104,1
307,1107,1
308,1110,1
309,1112,1
310,1118,1
311,1122,1
312,1125,1
313,1128,1
314,1130,1
315,1136,1
316,1140,1
317,1143,1
318,1146,1
319,1148,1
320,1154,1
321,1158,1
322,1161,1
323,1164,1
324,1166,1
325,1172,1
326,1176,1
327,1179,1
328,1182,1
329,1184,1
330,1190,1
331,1194,1
332,1197,1
333,1200,1
334,1202,1
335,1208,1
336,1212,1
337,1215,1
338,1218,1
339,1220,1
340,1226,1
341,1230,1
342,1233,1
343,1236,1
344,1238,1
345,1244,1
346,1248,1
347,1251,1
348,1254,1
349,1256,1
350,1262,1
351,1266,1
352,1269,1
353,1272,1
354,1274,1
355,1280,1
356,1284,1
357,1287,1
358,1290,1
359,1292,1
360,1298,1
361,1302,1
362,1305,1
363,1308,1
364,1310,1
365,1316,1
366,1320,1
367,1323,1
368,1326,1
369,1328,1
370,1334,1
371,1338,1
372,1341,1
373,1344,1
374,1346,1
375,1352,1
376,1356,1
377,1359,1
378,1362,1
379,1364,1
380,1370,1
381,1374,1
382,1377,1
383,1380,1
384,1382,1
385,1388,1
386,1392,1
387,1395,1
388,1398,1
389,1400,1
390,1406,1
391,1410,1
392,1413,1
393,1416,1
394,1418,1
395,1424,1
396,1428,1
397,1431,1
398,1434,1
399,1436,1
400,1442,1
401,1446,1
402,1449,1
403,1452,1
404,1454,1
405,1460,1
406,1464,1
407,1467,1
408,1470,1
409,1472,1
410,1478,1
411,1482,1
412,1485,1
413,1488,1
414,1490,1
415,1496,1
416,1500,1
417,1503,1
418,1506,1
419,1508,1
420,1514,1
421,1518,1
422,1521,1
423,1524,1
424,1526,1
425,1532,1
426,1536,1
427,1539,1
428,1542,1
429,1544,1
430,1550,1
431,1554,1
432,1557,1
433,1560,1
434,1562,1
435,1568,1
436,1572,1
437,1575,1
438,1578,1
439,1580,1
440,1586,1
441,1590,1
442,1593,1
443,1596,1
444,1598,1
445,1604,1
446,1608,1
447,1611,1
448,1614,1
449,1616,1
450,1622,1
451,1626,1
452,1629,1
453,1632,1
454,1634,1
455,1640,1
456,1644,1
457,1647,1
458,1650,1
459,1652,1
460,1658,1
461,1662,1
462,1665,1
463,1668,1
464,1670,1
465,1676,1
466,1680,1
467,1683,1
468,1686,1
469,1688,1
470,1694,1
471,1698,1
472,1701,1
473,1704,1
474,1706,1
475,1712,1
476,1716,1
477,1719,1
478,1722,1
479,1724,1
480,1730,1
481,1734,1
482,1737,1
483,1740,1
484,1742,1
485,1748,1
486,1752,1
487,1755,1
488,1758,1
489,1760,1
490,1766,1
491,1770,1
492,1773,1
493,1776,1
494,1778,1
495,1784,1
496,1788,1
497,1791,1
498,1794,1
499,1796,1
500,1802,1
501,1806,1
502,1809,1
503,1812,1
504,1814,1
505,1820,1
506,1824,1
507,1827,1
508,1830,1
509,1832,1
510,1838,1
511,1842,1
512,1845,1
513,1848,1
514,1850,1
515,1856,1
516,1860,1
517,1863,1
518,1866,1
519,1868,1
520,1874,1
521,1878,1
522,1881,1
523,1884,1
524,1886,1
525,1892,1
526,1896,1
527,1899,1
528,1902,1
529,1904,1
530,1910,1
531,1914,1
532,1917,1
533,1920,1
534,1922,1
535,1928,1
536,1932,1
537,1935,1
538,1938,1
539,1940,1
540,1946,1
541,1950,1
542,1953,1
543,1956,1
544,1958,1
545,1964,1
546,1968,1
547,1971,1
548,1974,1
549,1976,1
550,1982,1
551,1986,1
552,1989,1
553,1992,1
554,1994,1
555,2000,1
556,2004,1
557,2007,1
558,2010,1
559,2012,1
560,2018,1
